epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5505226254463196,0.49533799290657043,1.7658356428146362,0.5505226254463196,0.5505226254463196,0.625,0.554807722568512,1.6763774156570435,0.625,0.625
1,0.6689895391464233,0.5882100462913513,1.6524405479431152,0.6689895391464233,0.6689895391464233,0.7083333134651184,0.6115384101867676,1.641426682472229,0.7083333134651184,0.7083333134651184
2,0.7456446290016174,0.6994847655296326,1.5647592544555664,0.7456446290016174,0.7456446290016174,0.7083333134651184,0.5740385055541992,1.8019441366195679,0.7083333134651184,0.7083333134651184
3,0.7874564528465271,0.8021408319473267,1.4198085069656372,0.7874564528465271,0.7874564528465271,0.6527777910232544,0.5490384697914124,1.7091162204742432,0.6527777910232544,0.6527777910232544
4,0.8083623647689819,0.8399888873100281,1.309009075164795,0.8083623647689819,0.8083623647689819,0.625,0.6750000715255737,1.5297285318374634,0.625,0.625
5,0.8362369537353516,0.8901055455207825,1.174569845199585,0.8362369537353516,0.8362369537353516,0.6527777910232544,0.5504807233810425,1.8078536987304688,0.6527777910232544,0.6527777910232544
6,0.8710801601409912,0.895656943321228,1.1119023561477661,0.8710801601409912,0.8710801601409912,0.6666666865348816,0.632692277431488,1.4854521751403809,0.6666666865348816,0.6666666865348816
7,0.9024389982223511,0.9573058485984802,0.9041886329650879,0.9024389982223511,0.9024389982223511,0.7222222089767456,0.7009615302085876,1.3188341856002808,0.7222222089767456,0.7222222089767456
8,0.9128919839859009,0.9624279141426086,0.8246619701385498,0.9128919839859009,0.9128919839859009,0.6388888955116272,0.4701923727989197,1.8480829000473022,0.6388888955116272,0.6388888955116272
9,0.9407665729522705,0.9850631356239319,0.7084695100784302,0.9407665729522705,0.9407665729522705,0.6666666865348816,0.5884615778923035,1.8179422616958618,0.6666666865348816,0.6666666865348816
10,0.9721254110336304,0.993681788444519,0.618043065071106,0.9721254110336304,0.9721254110336304,0.6527777910232544,0.5634616017341614,2.235334634780884,0.6527777910232544,0.6527777910232544
11,0.9686411023139954,0.9824255108833313,0.6346701383590698,0.9686411023139954,0.9686411023139954,0.6805555820465088,0.4947114884853363,1.9660553932189941,0.6805555820465088,0.6805555820465088
12,0.9337978959083557,0.9755857586860657,0.6399142146110535,0.9337978959083557,0.9337978959083557,0.6527777910232544,0.5899037718772888,1.707963466644287,0.6527777910232544,0.6527777910232544
13,0.9825783967971802,0.99920254945755,0.5179241895675659,0.9825783967971802,0.9825783967971802,0.6388888955116272,0.5283653140068054,1.9051282405853271,0.6388888955116272,0.6388888955116272
14,0.9686411023139954,0.9903692603111267,0.5564195513725281,0.9686411023139954,0.9686411023139954,0.5555555820465088,0.48750004172325134,2.148747205734253,0.5555555820465088,0.5555555820465088
15,0.9721254110336304,0.9973929524421692,0.504845917224884,0.9721254110336304,0.9721254110336304,0.5555555820465088,0.5326923131942749,1.9066481590270996,0.5555555820465088,0.5555555820465088
16,0.9860627055168152,0.9991412162780762,0.4861944019794464,0.9860627055168152,0.9860627055168152,0.6111111044883728,0.5235576629638672,1.927115559577942,0.6111111044883728,0.6111111044883728
17,0.9895470142364502,0.9976076483726501,0.4849936068058014,0.9895470142364502,0.9895470142364502,0.6111111044883728,0.564423143863678,2.0286123752593994,0.6111111044883728,0.6111111044883728
18,0.9756097793579102,0.9901240468025208,0.49905598163604736,0.9756097793579102,0.9756097793579102,0.6527777910232544,0.5158654451370239,2.061248540878296,0.6527777910232544,0.6527777910232544
19,0.9895470142364502,0.9993560314178467,0.46253660321235657,0.9895470142364502,0.9895470142364502,0.625,0.5591346621513367,2.0285837650299072,0.625,0.625
20,0.996515691280365,0.9999386668205261,0.4421788156032562,0.996515691280365,0.996515691280365,0.6527777910232544,0.49663466215133667,2.251742124557495,0.6527777910232544,0.6527777910232544
21,0.9825783967971802,0.9964728355407715,0.4754856526851654,0.9825783967971802,0.9825783967971802,0.625,0.5586538910865784,2.042893886566162,0.625,0.625
22,0.9860627055168152,0.9966875910758972,0.4661206901073456,0.9860627055168152,0.9860627055168152,0.6111111044883728,0.5254806876182556,2.0309436321258545,0.6111111044883728,0.6111111044883728
23,0.9895470142364502,0.9910441040992737,0.46190816164016724,0.9895470142364502,0.9895470142364502,0.625,0.5086539387702942,2.1814451217651367,0.625,0.625
24,0.9860627055168152,0.9967795014381409,0.47021394968032837,0.9860627055168152,0.9860627055168152,0.6388888955116272,0.5250000357627869,1.9990592002868652,0.6388888955116272,0.6388888955116272
25,0.9895470142364502,0.9989265203475952,0.4494670331478119,0.9895470142364502,0.9895470142364502,0.5972222089767456,0.5336537957191467,2.170466184616089,0.5972222089767456,0.5972222089767456
26,0.9860627055168152,0.9977609515190125,0.45818963646888733,0.9860627055168152,0.9860627055168152,0.625,0.5870192646980286,2.0128724575042725,0.625,0.625
27,0.99303138256073,0.9997546672821045,0.43535926938056946,0.99303138256073,0.99303138256073,0.5972222089767456,0.5615385174751282,1.9590916633605957,0.5972222089767456,0.5972222089767456
28,1.0,1.0,0.42556294798851013,1.0,1.0,0.5972222089767456,0.5302884578704834,2.0033693313598633,0.5972222089767456,0.5972222089767456
29,0.996515691280365,0.9985277652740479,0.43883225321769714,0.996515691280365,0.996515691280365,0.5694444179534912,0.5206730961799622,2.1743457317352295,0.5694444179534912,0.5694444179534912
